# Testes after switching shouldHit to !shouldHit
# victory rate = 47,30%
3556,20,12,LOSS
3556,10,16,WIN
3556,15,16,WIN
3556,19,20,WIN
3556,18,11,LOSS
3556,19,16,LOSS
3556,18,21,WIN
3556,21,8,LOSS
3556,5,21,WIN
3556,13,12,LOSS
3556,20,19,LOSS
3556,17,13,LOSS
3556,20,14,LOSS
3556,14,7,LOSS
3556,18,12,LOSS
3556,14,19,WIN
3556,14,20,WIN
3556,7,21,WIN
3556,13,24,LOSS
3556,18,15,LOSS
3556,15,19,WIN
3556,13,20,WIN
3556,11,16,WIN
3556,13,12,LOSS
3556,15,14,LOSS
3556,19,15,LOSS
3556,19,16,LOSS
3556,15,5,LOSS
3556,12,22,LOSS
3556,14,5,LOSS
3556,15,19,WIN
3556,20,17,LOSS
3556,14,12,LOSS
3556,12,19,WIN
3556,8,12,WIN
3556,10,7,LOSS
798,15,5,LOSS
798,20,19,LOSS
798,10,11,WIN
798,19,12,LOSS
798,18,18,LOSS
798,18,15,LOSS
798,13,20,WIN
798,13,20,WIN
798,16,7,LOSS
798,20,16,LOSS
798,21,9,LOSS
798,12,21,WIN
798,9,21,WIN
798,11,11,LOSS
798,10,15,WIN
798,13,13,LOSS
798,20,15,LOSS
798,15,12,LOSS
798,18,12,LOSS
798,18,15,LOSS
798,8,15,WIN
798,13,17,WIN
798,12,9,LOSS
798,21,21,LOSS
798,20,15,LOSS
798,20,20,LOSS
798,14,20,WIN
798,20,16,LOSS
798,8,12,WIN
798,9,8,LOSS
798,21,16,LOSS
798,7,12,WIN
798,18,13,LOSS
798,17,18,WIN
798,12,16,WIN
798,13,8,LOSS
798,20,19,LOSS
798,16,19,WIN
798,15,12,LOSS
798,21,12,LOSS
798,15,20,WIN
798,13,16,WIN
798,11,12,WIN
798,11,19,WIN
798,15,17,WIN
798,15,20,WIN
798,17,13,LOSS
798,9,16,WIN
798,6,13,WIN
798,13,5,LOSS
798,17,15,LOSS
798,5,18,WIN
798,14,20,WIN
798,13,12,LOSS
798,8,16,WIN
798,21,18,LOSS
798,16,12,LOSS
798,13,5,LOSS
798,14,21,WIN
798,13,9,LOSS
798,16,17,WIN
798,19,20,WIN
798,12,21,WIN
798,19,16,LOSS
9031,10,20,WIN
9031,10,20,WIN
9031,20,8,LOSS
9031,7,16,WIN
9031,12,18,WIN
9031,18,17,LOSS
9031,13,19,WIN
9031,9,20,WIN
9031,19,7,LOSS
9031,17,14,LOSS
9031,10,9,LOSS
9031,17,13,LOSS
9031,10,13,WIN
9031,17,21,WIN
9031,19,16,LOSS
9031,19,19,LOSS
9031,11,14,WIN
9031,18,21,WIN
9031,15,15,LOSS
9031,10,20,WIN
9031,13,12,LOSS
9031,18,20,WIN
9031,21,20,LOSS
9031,20,12,LOSS
9031,8,12,WIN
9031,14,9,LOSS
9031,13,15,WIN
9031,11,12,WIN
9031,19,19,LOSS
9031,12,13,WIN
9031,16,5,LOSS
9031,7,9,WIN
9031,9,16,WIN
9031,17,30,LOSS
9031,19,21,WIN
9031,15,19,WIN
9031,12,14,WIN
9031,15,17,WIN
9031,19,20,WIN
9031,16,17,WIN
9031,18,15,LOSS
9031,21,12,LOSS
9031,14,19,WIN
9031,19,18,LOSS
9031,14,11,LOSS
9031,20,20,LOSS
9031,17,20,WIN
9031,19,13,LOSS
9031,5,20,WIN
9031,11,13,WIN
9031,13,18,WIN
9031,6,16,WIN
9031,13,8,LOSS
9031,15,14,LOSS
9031,14,23,LOSS
9031,14,14,LOSS
9031,18,14,LOSS
9031,13,16,WIN
9031,9,12,WIN
9031,11,12,WIN
9031,8,13,WIN
9031,17,12,LOSS
9031,12,15,WIN
9031,14,14,LOSS
2089,6,14,WIN
